,Album_Name,Artist,Album_id,Album_uri,Total_Tracks,Release_Date
85,YOU,Ali Gatie,63Kr9mdWxT7mB2AKgf4rCa,spotify:album:63Kr9mdWxT7mB2AKgf4rCa,9,2019-11-08
86,Woah,Lil Baby,393l0NdTr8Rv0hybf4FTxy,spotify:album:393l0NdTr8Rv0hybf4FTxy,1,2019-11-08
87,Tusa,KAROL G,7mKevNHhVnZER3BLgI8O4F,spotify:album:7mKevNHhVnZER3BLgI8O4F,1,2019-11-07
88,"Into the Unknown (From ""Frozen 2"")",Panic! At The Disco,0GSPdfLb7ccZ4Gwt8b7CVF,spotify:album:0GSPdfLb7ccZ4Gwt8b7CVF,1,2019-11-04
89,Like It's Christmas,Jonas Brothers,2SOQX9qSOQhxc0PsI5LNnu,spotify:album:2SOQX9qSOQhxc0PsI5LNnu,1,2019-11-08
90,club,Kelsea Ballerini,1yNQZYF5rLcqDWWC6hkl0p,spotify:album:1yNQZYF5rLcqDWWC6hkl0p,1,2019-11-08
91,Jerry Sprunger (with T-Pain),Tory Lanez,6F8mOzZgINIIQDjCaegXH4,spotify:album:6F8mOzZgINIIQDjCaegXH4,1,2019-11-08
92,World War Joy...Push My Luck,The Chainsmokers,3Gm1gQdIyBEPJVQUs7rYfr,spotify:album:3Gm1gQdIyBEPJVQUs7rYfr,6,2019-11-08
93,Show Me Love (feat. 21 Savage & Miguel),Alicia Keys,3SUrSBw1oY5yX0Zlpiux7M,spotify:album:3SUrSBw1oY5yX0Zlpiux7M,1,2019-10-30
94,Survival,Dave East,555WY4PFhQaqYEO0r65kBn,spotify:album:555WY4PFhQaqYEO0r65kBn,20,2019-11-08
95,From the album '9',Jason Aldean,6phJL5KRieKLEJ0UxptMEZ,spotify:album:6phJL5KRieKLEJ0UxptMEZ,8,2019-11-08
96,Mr,Leslie Odom Jr.,2eKpKABS86X4y67b5tYBXi,spotify:album:2eKpKABS86X4y67b5tYBXi,13,2019-11-08
97,The Juice: Vol. II,Emotional Oranges,6q8BNcH6wkWwWC0fGoJwkS,spotify:album:6q8BNcH6wkWwWC0fGoJwkS,8,2019-11-08
98,For The First Time,Best Coast,57JFVpwNaf7DlG2DEKIA3z,spotify:album:57JFVpwNaf7DlG2DEKIA3z,1,2019-11-05
